policy_생계급여,policy_의료급여,policy_주거급여,policy_교육급여,policy_공적연금,policy_고용보험,policy_산재보험,policy_자활근로,age,gender,household_size,marriage,edu,job_yn,employ_type,income_monthly,income_annual,region,hc,pension_type,health_insurance
0,0,0,0,0.0,0.0,0.0,0,54,여,4,기혼,고졸이하,취업,상용근로자,1458.9,17507.0,6,1,2,1
0,0,0,0,0.0,0.0,0.0,0,26,남,4,미혼,고졸이하,취업,상용근로자,1458.9,17507.0,6,1,2,1
0,0,0,0,0.0,0.0,0.0,0,25,남,4,미혼,고졸이하,취업,상용근로자,1458.9,17507.0,6,1,2,1
0,0,0,0,0.0,0.0,0.0,0,51,남,3,기혼,대학이상,취업,상용근로자,753.5,9042.0,3,1,2,1
0,0,0,0,0.0,0.0,0.0,0,51,여,3,기혼,대학이상,취업,상용근로자,753.5,9042.0,3,1,2,1
0,0,0,0,0.0,0.0,0.0,0,25,여,1,미혼,대학이상,취업,상용근로자,308.0,3696.0,1,1,2,1
0,0,0,0,0.0,0.0,0.0,0,21,여,3,미혼,대학이상,취업,임시일용근로자,753.5,9042.0,3,1,0,2
0,0,0,0,0.0,0.0,0.0,0,56,남,4,기혼,대학이상,취업,상용근로자,921.8,11061.0,3,1,2,1
0,0,0,0,0.0,0.0,0.0,0,51,여,4,기혼,대학이상,취업,무급가족종사자,921.8,11061.0,3,1,2,3
0,0,0,0,0.0,0.0,0.0,0,24,여,1,미혼,대학이상,취업,상용근로자,597.0,7164.0,1,1,2,1
0,0,0,0,0.0,0.0,0.0,0,22,여,4,미혼,대학이상,취업,임시일용근로자,921.8,11061.0,3,1,2,2
0,0,0,0,,,,0,15,남,4,미혼,대학이상,미취업,무직,921.8,11061.0,3,1,0,2
0,0,0,0,0.0,0.0,0.0,0,57,남,2,기혼,고졸이하,취업,상용근로자,343.0,4116.0,3,1,2,1
0,0,0,0,0.0,0.0,0.0,0,49,여,2,기혼,고졸이하,취업,상용근로자,343.0,4116.0,3,1,2,1
0,0,0,0,1.0,0.0,0.0,0,68,남,2,기혼,대학이상,미취업,무직,684.5,8214.0,3,1,1,4
0,0,0,0,0.0,0.0,0.0,0,64,여,2,기혼,대학이상,취업,고용원없는자영자,684.5,8214.0,3,1,2,3
0,0,0,0,1.0,0.0,0.0,0,63,남,3,기혼,대학이상,미취업,무직,296.8,3562.0,3,2,1,4
0,0,0,0,1.0,0.0,0.0,0,63,여,3,기혼,대학이상,취업,임시일용근로자,296.8,3562.0,3,2,1,3
0,0,0,0,0.0,0.0,0.0,0,32,여,3,미혼,대학이상,미취업,무직,296.8,3562.0,3,2,2,4
0,0,0,0,0.0,0.0,0.0,0,54,남,3,기혼,고졸이하,취업,임시일용근로자,680.2,8162.0,3,1,2,3
0,0,0,0,0.0,0.0,0.0,0,51,여,3,기혼,고졸이하,미취업,무직,680.2,8162.0,3,1,0,2
0,0,0,0,0.0,0.0,0.0,0,24,여,3,미혼,대학이상,취업,상용근로자,680.2,8162.0,3,1,2,1
0,0,0,0,0.0,0.0,0.0,0,54,여,2,기혼,고졸이하,취업,상용근로자,470.3,5644.0,3,1,2,1
0,0,0,0,0.0,1.0,0.0,0,61,남,2,기혼,고졸이하,미취업,무직,470.3,5644.0,3,1,4,2
1,1,1,0,,,,0,85,여,5,미혼,대학이상,미취업,무직,668.3,8020.0,3,1,1,2
1,1,1,0,0.0,0.0,0.0,0,48,남,5,기혼,대학이상,취업,상용근로자,668.3,8020.0,3,1,2,1
1,1,1,0,0.0,0.0,0.0,0,44,여,5,기혼,대학이상,취업,임시일용근로자,668.3,8020.0,3,1,2,1
1,1,1,0,,,,0,10,남,5,미혼,대학이상,미취업,무직,668.3,8020.0,3,1,0,2
1,1,1,0,,,,0,8,여,5,미혼,대학이상,미취업,무직,668.3,8020.0,3,1,0,2
0,0,0,0,0.0,0.0,0.0,0,61,여,2,기혼,고졸이하,취업,고용원없는자영자,520.0,6240.0,3,1,2,3
0,0,0,0,0.0,0.0,0.0,0,65,남,2,기혼,고졸이하,취업,임시일용근로자,520.0,6240.0,3,1,0,4
0,0,0,0,1.0,0.0,0.0,0,75,남,2,기혼,대학이상,취업,고용원있는사업자,441.7,5300.0,7,1,1,3
